PLANT_ID,PLANT_NO,DATE_TIME,DC_POWER_TOTAL,AC_POWER_TOTAL,DAILY_YIELD_TOTAL,TOTAL_YIELD_TOTAL,ACTIVE_SOURCE_COUNT,ZERO_AC_COUNT,ZERO_AC_RATIO,WEATHER_SENSOR_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY,DAYOFWEEK,MONTH,DAYOFYEAR,HOUR_SIN,HOUR_COS,IS_DAYLIGHT
4135001,1,2020-05-15 00:00:00,0.0,0.0,0.0,143581676.0,21,21,1.0,HmiyD2TTLFNqkNe,25.184316133333333,22.8575074,0.0,0,0,15,4,5,136,0.0,1.0,0
4136001,2,2020-05-15 00:00:00,0.0,0.0,48899.938095238096,14189595055.0,22,22,1.0,iq8k7ZNt4Mwm3w0,27.004763700000005,25.0607889,0.0,0,0,15,4,5,136,0.0,1.0,0
4136001,2,2020-05-15 00:15:00,0.0,0.0,28401.0,14189595055.0,22,22,1.0,iq8k7ZNt4Mwm3w0,26.880811433333328,24.421868833333328,0.0,0,15,15,4,5,136,0.06540312923014306,0.9978589232386035,0
4135001,1,2020-05-15 00:15:00,0.0,0.0,0.0,143581676.0,21,21,1.0,HmiyD2TTLFNqkNe,25.08458866666667,22.761667866666663,0.0,0,15,15,4,5,136,0.06540312923014306,0.9978589232386035,0
4135001,1,2020-05-15 00:30:00,0.0,0.0,0.0,143581676.0,21,21,1.0,HmiyD2TTLFNqkNe,24.935752600000004,22.59230553333333,0.0,0,30,15,4,5,136,0.13052619222005157,0.9914448613738104,0
4136001,2,2020-05-15 00:30:00,0.0,0.0,28401.0,14189595055.0,22,22,1.0,iq8k7ZNt4Mwm3w0,26.682055344827592,24.427290310344823,0.0,0,30,15,4,5,136,0.13052619222005157,0.9914448613738104,0
4135001,1,2020-05-15 00:45:00,0.0,0.0,0.0,143581676.0,21,21,1.0,HmiyD2TTLFNqkNe,24.8461304,22.36085213333333,0.0,0,45,15,4,5,136,0.19509032201612825,0.9807852804032304,0
4136001,2,2020-05-15 00:45:00,0.0,0.0,28401.0,14189595055.0,22,22,1.0,iq8k7ZNt4Mwm3w0,26.500588900000004,24.4206776,0.0,0,45,15,4,5,136,0.19509032201612825,0.9807852804032304,0
4136001,2,2020-05-15 01:00:00,0.0,0.0,26516.0,14189595055.0,22,22,1.0,iq8k7ZNt4Mwm3w0,26.596148,25.088210413793107,0.0,1,0,15,4,5,136,0.25881904510252074,0.9659258262890683,0
4135001,1,2020-05-15 01:00:00,0.0,0.0,0.0,150761642.0,22,22,1.0,HmiyD2TTLFNqkNe,24.621525357142858,22.165422642857145,0.0,1,0,15,4,5,136,0.25881904510252074,0.9659258262890683,0
4136001,2,2020-05-15 01:15:00,0.0,0.0,18976.0,14189595055.0,22,22,1.0,iq8k7ZNt4Mwm3w0,26.512740033333333,25.31796966666667,0.0,1,15,15,4,5,136,0.3214394653031616,0.9469301294951057,0
4135001,1,2020-05-15 01:15:00,0.0,0.0,0.0,143581676.0,21,21,1.0,HmiyD2TTLFNqkNe,24.5360922,21.968570866666667,0.0,1,15,15,4,5,136,0.3214394653031616,0.9469301294951057,0
4136001,2,2020-05-15 01:30:00,0.0,0.0,18976.0,14189595055.0,22,22,1.0,iq8k7ZNt4Mwm3w0,26.494338966666664,25.217192533333336,0.0,1,30,15,4,5,136,0.3826834323650898,0.9238795325112867,0
