PLANT_ID,PLANT_NO,DATE_TIME,AC_POWER_TOTAL,DC_POWER_TOTAL,DAILY_YIELD_TOTAL,TOTAL_YIELD_TOTAL,ACTIVE_SOURCE_COUNT,WEATHER_SENSOR_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAYOFWEEK,DAYOFYEAR,MONTH,HOUR_SIN,HOUR_COS,IS_DAYLIGHT
4136001,2,2020-05-15 00:00:00,0.0,0.0,48899.938095238096,14189595055.0,22,iq8k7ZNt4Mwm3w0,27.004763700000005,25.0607889,0.0,0,0,4,136,5,0.0,1.0,0
4136001,2,2020-05-15 00:15:00,0.0,0.0,28401.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.880811433333328,24.421868833333328,0.0,0,15,4,136,5,0.06540312923014306,0.9978589232386035,0
4136001,2,2020-05-15 00:30:00,0.0,0.0,28401.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.682055344827592,24.427290310344823,0.0,0,30,4,136,5,0.13052619222005157,0.9914448613738104,0
4136001,2,2020-05-15 00:45:00,0.0,0.0,28401.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.500588900000004,24.4206776,0.0,0,45,4,136,5,0.19509032201612825,0.9807852804032304,0
4136001,2,2020-05-15 01:00:00,0.0,0.0,26516.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.596148,25.088210413793107,0.0,1,0,4,136,5,0.25881904510252074,0.9659258262890683,0
4136001,2,2020-05-15 01:15:00,0.0,0.0,18976.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.512740033333333,25.31796966666667,0.0,1,15,4,136,5,0.3214394653031616,0.9469301294951057,0
4136001,2,2020-05-15 01:30:00,0.0,0.0,18976.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.494338966666664,25.217192533333336,0.0,1,30,4,136,5,0.3826834323650898,0.9238795325112867,0
4136001,2,2020-05-15 01:45:00,0.0,0.0,18976.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.420410206896552,25.065062310344832,0.0,1,45,4,136,5,0.44228869021900125,0.8968727415326884,0
4136001,2,2020-05-15 02:00:00,0.0,0.0,18976.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.401946133333333,24.691469366666656,0.0,2,0,4,136,5,0.49999999999999994,0.8660254037844387,0
4136001,2,2020-05-15 02:15:00,0.0,0.0,18976.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.226078206896556,24.55948079310345,0.0,2,15,4,136,5,0.5555702330196022,0.8314696123025452,0
4136001,2,2020-05-15 02:30:00,0.0,0.0,18976.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.2603992,24.482406633333337,0.0,2,30,4,136,5,0.6087614290087207,0.7933533402912352,0
4136001,2,2020-05-15 02:45:00,0.0,0.0,18976.0,14189595055.0,22,iq8k7ZNt4Mwm3w0,26.2978261,24.4886982,0.0,2,45,4,136,5,0.6593458151000688,0.7518398074789774,0
